timestamp_s,rov_x,rov_y,rov_z,obstacle_count,max_obstacle_risk,most_dangerous_center_x,most_dangerous_bearing_rad,nominal_surge,nominal_sway,nominal_yaw_rate,safe_surge,safe_sway,safe_yaw_rate,planner_state,selected_side,debug_risk
5.303041,1.1109126,0.0,0.0,3,0.760374903678894,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
5.41494,1.1300789400000002,0.0,0.0,3,0.7618059515953064,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
5.511065,1.1524915,0.0,0.0,3,0.763491153717041,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
5.606713,1.17162044,0.0,0.0,3,0.76495361328125,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
5.702885,1.19083522,0.0,0.0,3,0.7664294242858887,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
5.815256,1.2100823800000002,0.0,0.0,3,0.7679233551025391,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
5.911467,1.2325957800000003,0.0,0.0,3,0.7696904540061951,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
6.007139,1.2516753000000003,0.0,0.0,3,0.7712262272834778,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
6.102465,1.2709268000000002,0.0,0.0,3,0.7727659940719604,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
6.208134,1.2919196800000001,0.0,0.0,3,0.7743211984634399,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
6.303972,1.3112253200000001,0.0,0.0,3,0.7760703563690186,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
6.413328,1.3330777800000002,0.0,0.0,3,0.7776556015014648,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
6.515512,1.3519739000000002,0.0,0.0,3,0.7795189023017883,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
6.601404,1.3705396400000003,0.0,0.0,3,0.7812809348106384,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
6.71383,1.3930163400000002,0.0,0.0,3,0.7827655076980591,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
6.809631,1.4122629800000002,0.0,0.0,3,0.7847369909286499,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
6.905645,1.4314453400000002,0.0,0.0,3,0.786446750164032,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
7.002249,1.4506971800000001,0.0,0.0,3,0.788184404373169,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
7.113113,1.4735119,0.0,0.0,3,0.7899501919746399,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
7.20524,1.4912798800000002,0.0,0.0,3,0.7920049428939819,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
7.301444,1.5105204,0.0,0.0,3,0.7937507033348083,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
7.413705,1.5329613800000002,0.0,0.0,3,0.7955889701843262,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
7.516576,1.5521196000000002,0.0,0.0,3,0.7977634072303772,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
7.61265,1.57278084,0.0,0.0,3,0.7997910976409912,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
7.708972,1.5921115200000002,0.0,0.0,3,0.8017159104347229,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
